名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
這個科系很不一樣-科系微探索,這,個,科系,很,不,一樣,-,科系,微,探索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年第1期整合作物現地調查判釋計畫(案號︰112R14),112年,第1,期,整合,作物,現地,調查,判釋,計畫,(,案號,︰,112,R,14,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年南科創新創業培育輔導及場域管理計畫委託專業服務案,112年,南科,創新,創業,培育,輔導,及,場域,管理,計畫,委託,專業,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
環境保護專責及技術人員在職訓練,環境,保護,專責,及,技術人員,在職,訓練,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「2022年永續報告書編製與認證專案」委託專業服務,「,2022年,永續,報告書,編製,與,認證,專案,」,委託,專業,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性及關注化學物質專業技術管理人員訓練,毒性,及,關注,化學,物質,專業,技術,管理,人員,訓練,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年南科園區永續發展目標自願檢視報告書及環保精進策略研析事項委辦案,112年,南科,園區,永續,發展,目標,自願,檢視,報告書,及,環保,精進,策略,研析,事項,委辦案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分散式電源裝置容量最適化及用電成本分析研究計畫,分散式,電源,裝置,容量,最適化,及,用電,成本,分析,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年度布袋鹽田濕地第九區基礎調查規劃,112年度,布袋,鹽田,濕地,第九,區,基礎,調查,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美利達工業股份有限公司2022年ESG英文報告書輔導,美利達,工業,股份,有限公司,2022年,ESG,英文,報告書,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛達電業股份有限公司2022年ESG永續報告書美編輔導,盛達,電業,股份,有限公司,2022年,ESG,永續,報告書,美編,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃廠及大林廠柴油類、燃料油類產品碳足跡盤查輔導及查證工作,桃廠,及,大林廠,柴油類,、,燃料,油類,產品,碳,足跡,盤查,輔導,及,查證,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣112年強韌臺灣大規模風災震災整備與協作計畫,花蓮縣,112年,強韌,臺灣,大規模,風災,震災,整備,與,協作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年度國家實驗研究院永續報告書,112年度,國家,實驗,研究院,永續,報告書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112？？「國際海運資？庫」維護？進及議題分析(IOT-112-EB003),112,？,？,「,國際,海運資,？,庫,」,維護,？進,及,議題,分析,(,IOT-112-EB003,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東平原伏流水與地下水永續利用開發規劃,屏東,平原,伏流水,與,地下水,永續,利用,開發,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigating　the　effect　of　food　extract-01　and　extract-02　in　colon　cancer　cells,Investigating　the　effect　of　food　extract-01　and　extract-02　in　colon　cancer　cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七股氣象雷達遷移更新計畫委託施工暨營運期間環境監測案生態環境調查監測作業,七股,氣象,雷達,遷移,更新,計畫,委託,施工,暨,營運,期間,環境,監測案,生態環境,調查,監測,作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
興海漁港擴建改善工程施工期間環境監測委託技術服務之生態調查,興海,漁港,擴建,改善,工程,施工,期間,環境,監測,委託,技術,服務,之,生態,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
低矮建物液化引致基礎沉陷量與傾斜危害度評估,低矮,建物,液化,引致,基礎,沉陷量,與,傾斜,危害度,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市產業發展方向評估及產業轉型案例研究委託服務案,高雄市,產業,發展,方向,評估,及,產業,轉型,案例,研究,委託,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「高雄市政府委託公民營事業辦理　楠梓產業園區開發、使用收益處分及管理計畫」高雄煉油廠楠梓水資源中心設置計畫環境影響說明書─健康風險評估委託,「,高雄市,政府,委託,公民營,事業,辦理,　,楠梓,產業,園區,開發,、,使用,收益,處分,及,管理,計畫,」,高雄,煉油廠,楠梓,水,資源,中心,設置,計畫,環境,影響,說明書,─,健康,風險,評估,委託,,,,,,,,,,,,,,,,,,,
Skrabur黑膠漢堡嘻哈美食態度建置服務計畫,Skrabur,黑膠,漢堡,嘻哈,美食,態度,建置,服務,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生產與作業系統改善之研究(I),生產,與,作業,系統,改善,之,研究,(,I,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微波燒結氮化鋁陶瓷加工之服務(採購單號︰3000747874),微波,燒結,氮化鋁,陶瓷,加工,之,服務,(,採購,單號,︰,3000747874,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料處理分析及驗證試驗方案,資料,處理,分析,及,驗證,試驗,方案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氣候變遷防洪水文情境分析與應用,氣候,變遷,防洪,水文,情境,分析,與,應用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
產品環境足跡推動計畫-示範輔導(茂發、柏林),產品,環境,足跡,推動,計畫,-,示範,輔導,(,茂發,、,柏林,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年度『高科技產業安全與環境保護』系列研討,112年度,『,高科技,產業,安全,與,環境,保護,』,系列,研討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
環保署環境督察總隊三區環境督察大隊指定之污染源對象進行CEMS查核(採購單號︰3000744049),環保署,環境,督察,總隊,三,區,環境,督察,大隊,指定,之,污染源,對象,進行,CEMS,查核,(,採購,單號,︰,3000744049,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年高雄市公車合理運價與車公里成本研究案,112年,高雄市,公車,合理,運價,與,車公里,成本,研究案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
掃瞄電子顯微鏡(SEM)及穿透式電子顯微鏡(TEM)圖像(採購單號︰3000755417),掃瞄,電子,顯微鏡,(,SEM,),及,穿透式,電子,顯微鏡,(,TEM,),圖像,(,採購,單號,︰,3000755417,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金屬產業智慧及低碳化升級轉型輔導計畫,金屬,產業,智慧,及,低碳化,升級,轉型,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA　Copilot基於LLM大型語言模型之產品材料失效分析共御系統,FA　Copilot,基於,LLM,大型,語言,模型,之,產品,材料,失效,分析,共御,系統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA　Copilot基於LLM大型語言模型之產品材料失效分析共御系統,FA　Copilot,基於,LLM,大型,語言,模型,之,產品,材料,失效,分析,共御,系統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
實驗室輔導設立規劃契約書,實驗室,輔導,設立,規劃,契約書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「找樹的人」高密度空載光達資料掃瞄,「,找,樹,的,人,」,高密度,空載,光達,資料,掃瞄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樓板衝擊音檢測標準研究,樓板,衝擊音,檢測,標準,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「金屬產品之開發」顧問諮詢案,「,金屬,產品,之,開發,」,顧問,諮詢案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壹東實業股份有限公司ISO14064-1:2018組織型溫室氣體盤查,壹東,實業,股份,有限公司,ISO14064-,1:2018,組織型,溫室,氣體,盤查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113年度水庫集水區巡查暨衛星影像變異點調查計畫,113年度,水庫,集水區,巡查,暨,衛星,影像,變異點,調查,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西屯區市政路延伸工程-第2標(安和路至環中路三段)綠道路輔導評估,西屯區,市政路,延伸,工程,-,第2,標,(,安和路,至,環中路,三段,),綠道路,輔導,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精密金屬加工產業智慧生產管理營運平台開發計畫　,精密,金屬,加工,產業,智慧,生產,管理,營運,平台,開發,計畫,　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長華電材股份有限公司　ISO　14064-1:2018組織型溫室氣體盤查輔導,長華,電材,股份,有限公司,　ISO　14064-,1:2018,組織型,溫室,氣體,盤查,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金亞-建築用防火門檢測專案,金亞,-,建築,用,防火門,檢測,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024「區域型申報服務窗口」CBAM面對面申報輔導,2024,「,區域型,申報,服務,窗口,」,CBAM,面對面,申報,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「臺南市智慧路邊停車」服務滿意度調查,「,臺南市,智慧路,邊,停車,」,服務,滿意度,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台江國家公園計畫（第2次通盤檢討）書圖作業,台江,國家,公園,計畫,（,第2,次,通盤,檢討,）,書圖,作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113年度「國土利用監測整合作業」委託專業服務案—指定5座集水區崩塌地面積判釋,113年度,「,國土,利用,監測,整合,作業,」,委託,專業,服務案,—,指定,5,座,集水區,崩塌地,面積,判釋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電弧爐粉塵回收製程中CO減排之可行性評估(合約編號︰3-R-1301),電弧爐,粉塵,回收,製程,中,CO,減排,之,可行性,評估,(,合約,編號,︰,3-R-,1301,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中榮民總醫院嘉義暨灣橋分院永續發展推動輔導採購案,臺中,榮民,總醫院,嘉義,暨,灣橋,分院,永續,發展,推動,輔導,採購案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通霄電廠二期擴建水工模型試驗計畫,通霄,電廠,二,期,擴建,水工,模型,試驗,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113年度花蓮縣自主防災訓練管理執行計畫,113年度,花蓮縣,自主,防災,訓練,管理,執行,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150kW短軸版啟發機馬達設計分析與改善,150,kW,短軸版,啟發機,馬達,設計,分析,與,改善,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月津港臭味檢測及藻華改善策略研究,月津港,臭味,檢測,及,藻華,改善,策略,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水資源關鍵基礎設施工控系統資安試驗平台及區塊鏈日誌功能擴充,水,資源,關鍵,基礎,設施,工控,系統,資安,試驗,平台,及,區塊鏈,日誌,功能,擴充,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
能源用地白皮書空間分析顧問服務委託案(採購案號:3000778149),能源,用地,白皮書,空間,分析,顧問,服務,委託案,(,採購案號,:3000778149,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定污染源空氣污染物連續自動監測設施與揮發性有機物監測管理評估計畫,固定,污染源,空氣,污染物,連續,自動,監測,設施,與,揮發性,有機物,監測,管理,評估,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地下水層水文地質特性調查及地下水資源評估(3/5),地下水層,水文,地質,特性,調查,及,地下水,資源,評估,(,3/5,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用遙測技術於屋頂石綿瓦建材管理與判釋計畫,應用,遙測,技術,於,屋頂,石綿瓦,建材,管理,與,判釋,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建築物含石綿建材基線分析及管理系統專案工作計畫,建築物,含,石綿,建材,基線,分析,及,管理,系統,專案,工作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煙霧製造機操作與訓練服務(採購單號:3000778282),煙霧,製造機,操作,與,訓練,服務,(,採購,單號,:3000778282),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焚化飛灰以電漿熔融技術安定化與資源化之研究,焚化,飛灰,以,電漿,熔融,技術,安定化,與,資源化,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「推動花東地區永續發展執行計畫」委託辦理案,「,推動,花東,地區,永續,發展,執行,計畫,」,委託,辦理案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金亞-建築用防火門檢測專案,金亞,-,建築,用,防火門,檢測,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
碳中和關鍵解方負碳排產業高峰會暨臺灣首座負碳排示範工廠落成啟典禮,碳,中,和,關鍵,解方,負,碳,排,產業,高峰會,暨,臺灣,首,座,負,碳排,示範,工廠,落成,啟,典禮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中油公司台東屏東離島及高雄錨地海域油污染擴散風險評估建置計畫,中油,公司,台東,屏東,離島,及,高雄,錨地,海域,油,污染,擴散,風險,評估,建置,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中鋼公司煤礦封閉式建築原物料堆(室內化)堆置對C站PM2.5濃度改善研究計畫,中鋼,公司,煤礦,封閉式,建築,原物料堆,(,室內化,),堆置,對,C,站,PM,2.5,濃度,改善,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精益產品技術輔導計畫,精益,產品,技術,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醫材技術人員認證訓練-醫療器材風險管理分析注意事項,醫材,技術人員,認證,訓練,-,醫療,器材,風險,管理,分析,注意,事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lens　inspection　and　cover　to　lens　topographic　shape　　(延續案),Lens　inspection　and　cover　to　lens　topographic　shape　　,(,延續案,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近紅外吸收材料與角度低敏感光學鍍膜技術　(延續案),近,紅外,吸收,材料,與,角度,低敏感光學,鍍膜,技術,　,(,延續案,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用於感光模組的銲錫接點製程最佳化與可靠度分析　(延續案),應用,於,感光,模組,的,銲錫,接點,製程,最佳化,與,可靠度,分析,　,(,延續案,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人工智慧/機器學習於差動對佈局的最佳化設計,人工,智慧,/,機器,學習,於,差動,對,佈局,的,最佳化,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近紅外吸收材料與角度低敏感光學鍍膜技術　(延續案),近,紅外,吸收,材料,與,角度,低敏感光學,鍍膜,技術,　,(,延續案,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中鋼煉焦工場有害空氣污染物排放調查與分析研究計畫,中鋼,煉焦,工場,有害,空氣,污染物,排放,調查,與,分析,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度臺灣藥事論壇線上課程,111年度,臺灣,藥事,論壇,線上,課程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台電公司空污排放調查分析及空氣品質影響預測研究,台電,公司,空污,排放,調查,分析,及,空氣,品質,影響,預測,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北汕尾水鳥保護區周緣圳路水文資料收集及水域生態調查計畫,北汕尾,水鳥,保護區,周緣,圳路,水文,資料,收集,及,水域,生態,調查,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度東北角海氣象資訊網站及展示站維護案,111年度,東北角海,氣象,資訊,網站,及,展示站,維護案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度資料浮標維護與資訊管理作業,111年度,資料,浮標,維護,與,資訊,管理,作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮園區地下水監測與數據解析計畫,麥寮,園區,地下水,監測,與,數據,解析,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影像辨識系統於智慧橋檢之研發應用(II)--深度學習影像辨識技術及BIM雲端管理系統研發工作,影像,辨識,系統,於,智慧,橋檢,之,研發,應用,(,II,),--,深度,學習,影像,辨識,技術,及,BIM,雲端,管理,系統,研發,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理顧問進修班第111級A班,管理,顧問,進修班,第111,級,A,班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行銷管理實務班111級A班(行39期),行銷,管理,實務班,111,級,A,班,(,行,39,期,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111至112年度雲林離島式基礎工業區整體開發規劃及環境監測委託專業服務,111,至,112年度,雲林,離島式,基礎,工業區,整體,開發,規劃,及,環境,監測,委託,專業,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI智慧區域交控與無線嗅探偵測技術研發,AI,智慧,區域,交控,與,無線,嗅探,偵測,技術,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度水庫集水區保育治理推動綜整服務計畫,111年度,水庫,集水區,保育,治理,推動,綜整,服務,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111-112年度竹林潛在大規模崩塌調查監測計畫(1∕2),111-,112年度,竹林,潛在,大規模,崩塌,調查,監測,計畫,(,1,∕,2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外傘頂洲灘線監測與漂沙調查勞務委託,外傘,頂洲,灘線,監測,與,漂沙,調查,勞務,委託,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醫療器材製造業者品質管理系統(QMS)介紹與實務解析認證訓練課程,醫療,器材,製造,業者,品質,管理,系統,(,QMS,),介紹,與,實務,解析,認證,訓練,課程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
體外診斷醫療器材(IVD)技術人員訓練系列課程,體,外,診斷,醫療,器材,(,IVD,),技術人員,訓練,系列,課程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度臺南分局推動大規模崩塌特定水土保持區之劃定及長期水土保持計畫之擬定,111年度,臺南,分局,推動,大規模,崩塌,特定,水土,保持區,之,劃定,及,長期,水土,保持,計畫,之,擬定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度阿公店水庫空庫防淤泥砂觀測及防洪運轉決策支援,111年度,阿公店,水庫,空庫,防淤,泥砂,觀測,及,防洪,運轉,決策,支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度企業人力資源提升計畫-華新麗華股份有限公司之循環經濟教育訓練,111年度,企業,人力,資源,提升,計畫,-,華新,麗華,股份,有限公司,之,循環,經濟,教育,訓練,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反應產物共20批委託分析檢測(採購單號：3000700563),反應,產物,共,20,批,委託,分析,檢測,(,採購,單號,：3000700563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILLFOUND會員專屬物品識別追蹤管理平台服務,CHILLFOUND,會員,專屬,物品,識別,追蹤,管理,平台,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年雲林地區地層壓縮參數調查與資料分析,111年,雲林,地區,地層,壓縮,參數,調查,與,資料,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南區產業資安強化服務團推動(PO:3000702486),南區,產業,資安,強化,服務團,推動,(,PO:,3000702486,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度水利年報彙編計畫,111年度,水利年報,彙編,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年海面數據浮標錨碇系統採購與維運及船舶租賃,111年,海面,數據,浮標,錨碇,系統,採購,與,維運,及,船舶,租賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金亞-標檢局指定建築用防火門檢測專案,金亞,-,標檢局,指定,建築用,防火門,檢測,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信創集團ESG報告及碳管理輔導研究,信創,集團,ESG,報告,及,碳,管理,輔導,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022　Center　for　Innovative　FinTech　Business　Models 　NCKU　The　3rd　International　Conference　On　FinTech,2022,　,Center　for　Innovative　FinTech　Business　Models 　NCKU　The　3rd　International　Conference　On　FinTech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農業可用水量預測與供灌決策輔助研發,農業,可,用水量,預測,與,供灌,決策,輔助,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT產業技術輔導計畫,MIT,產業,技術,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111-112年海象資料庫處理應用系統維護案,111-,112年,海象,資料庫,處理,應用,系統,維護案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年度『高科技產業安全與環境保護』系列研討,111年度,『,高科技,產業,安全,與,環境,保護,』,系列,研討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
興采實業股份有限公司2022年ESG報告書輔導,興采,實業,股份,有限公司,2022年,ESG,報告書,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財團法人食品工業發展研究所溫室氣體盤查暨產品碳足跡輔導,財團,法人,食品,工業,發展,研究所,溫室,氣體,盤查,暨,產品,碳足跡,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長照排程系統資料收集與測試,長照,排程,系統,資料,收集,與,測試,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二十七屆（2023年）國土規劃論壇研討會,第二十七,屆,（,2023年,）,國土,規劃,論壇,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023寒暑期機台教育訓練課程,2023,寒暑期,機台,教育,訓練,課程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年度資料浮標系統及錨繫設備更新維護,112年度,資料,浮標,系統,及,錨繫,設備,更新,維護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二十七屆（2023.年）國土規劃論壇研討會,第二十七,屆,（,2023,.,年,）,國土,規劃,論壇,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外傘頂洲侵退防治技術開發與策？建構計畫-漂沙組成溯源與地形變遷分析模式應用,外傘,頂洲,侵退,防治,技術,開發,與,策,？,建構,計畫,-,漂沙,組成,溯源,與,地形,變遷,分析,模式,應用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
離岸風電場生態保育環境監測-苗雲彰風場生態環境及生物資源研究,離岸風,電場,生態,保育,環境,監測,-,苗雲彰,風場,生態環境,及,生物,資源,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年度嘉義縣合法畜牧業暨合法工廠納管水井推動作業委託專業服務,112年度,嘉義縣,合法,畜牧業,暨,合法,工廠,納管,水井,推動,作業,委託,專業,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海洋產業人才培育策略架構及培訓機構職能作業標準建構,海洋,產業,人才,培育,策略,架構,及,培訓,機構,職能,作業,標準,建構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年產業用水效能提升計畫,112年,產業,用水,效能,提升,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流量計等校正等1項,流量計,等,校正,等,1,項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年度高雄市一千分之一地形圖（楠梓區、左營區、鼓山區、旗津區及小港區）測製成果品質監審案,112年度,高雄市,一千分之一,地形圖,（,楠梓區,、,左營區,、,鼓山區,、,旗津區,及,小港區,）,測製,成果,品質,監審案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
